id,name,category,address,postcode,city,country,website,source_url,notes,latitude,longitude,twitter,geocode_confidence
cand-ai-003,PolyAI,ai,"3 Sheldon Square",W2 6HY,London,UK,,,London-founded conversational AI company,51.5197584,-0.1806015,,high
cand-ai-004,Builder.ai,ai,"6 Ellery St",SE15 3RL,London,UK,,,London-founded AI app platform,51.4671925,-0.0612518,,high
cand-ai-005,Robin AI,ai,"Supermarket of Dreams",W11 4UE,London,UK,,,London legal AI startup (WIRED list),51.5066308,-0.2084823,,high
cand-ai-006,PhysicsX,ai,"1 Leonard Circus",EC2A 4DQ,London,UK,,,London AI engineering startup (WIRED/Sifted),51.5248261,-0.0838117,,high
cand-ai-009,Luminance,ai,"2",W1T 3BP,London,UK,,,London legal AI company,51.5187842,-0.1379594,,high
cand-ai-010,Causaly,ai,"10-16 Elm St",WC1X 0BJ,London,UK,,,AI scientific platform with London base,51.5230222,-0.1136283,,high
cand-ai-012,Signal AI,ai,"4th Floor",EC1Y 8RN,London,UK,,,London AI media intelligence company,51.52464440000001,-0.0889104,,high
cand-ai-013,Eigen Technologies,ai,"Fetter Yard",EC4A 1EN,London,UK,,,London NLP automation company,51.51713789999999,-0.1091394,,high
cand-ai-014,Faculty,ai,"5th Floor",EC1V 9BW,London,UK,,,London AI consultancy/product company,51.5249523,-0.09106739999999999,,high
cand-ai-015,Harvey,ai,"Harvey Rd",SE5,London,UK,,,AI legal startup expanding into London,51.4756188,-0.0883797,,high
cand-ai-016,Mphasis AI Innovation Hub,ai,"4 Coleman St",EC2R 5AR,London,UK,,,London AI hub expansion cited by London & Partners,51.51653659999999,-0.0899865,,high
cand-ai-017,Huma,ai,"13th floor",SW1P 4QP,London,UK,,,London health AI / digital health scaleup,51.4923181,-0.1258401,,high
cand-ai-019,Limbic,ai,"100 Drummond Rd",SE3 7SG,London,UK,,,London mental-health AI company,51.49444680000001,-0.06119239999999999,,high
cand-ai-020,Baseimmune,ai,"BioScience Innovation Centre",NW1 0NH,London,UK,,,London biotech/AI company,51.5384668,-0.1330315,,high
cand-ai-021,Fetch.ai,ai,"Arch 642",SW4 6DH,London,UK,,,London-origin AI x web3 company,51.46478990000001,-0.1311319,,high
