id,name,category,address,postcode,city,country,website,source_url,notes,latitude,longitude,twitter,geocode_confidence
cand-ai-001,OpenAI,ai,"Suite 1, 7th Floor, 50 Broadway",SW1H 0BL,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-002,ElevenLabs,ai,"Floor 4, 33 Broadwick Street",W1F 0DQ,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-003,PolyAI,ai,3 Sheldon Square,W2 6HY,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-004,Builder.ai,ai,"6th Floor, North West House, 119 Marylebone Road",NW1 5PU,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-005,Robin AI,ai,10 Devonshire Square,EC2M 4YP,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-006,PhysicsX,ai,"Victoria House, 1 Leonard Circus",EC2A 4DQ,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-007,Graphcore,ai,"Lynton House, 7-12 Tavistock Square",WC1H 9LT,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-008,Darktrace,ai,80 Strand,WC2R 0DT,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-009,Luminance,ai,,,London,UK,,,Pending research,,,,pending
cand-ai-010,Causaly,ai,10-16 Elm Street,WC1X 0BJ,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-011,Seldon,ai,"Rise London, 41 Luke Street",EC2A 4DP,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-012,Signal AI,ai,"1st Floor Sackville House, 143-149 Fenchurch Street",EC3M 6BN,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-013,Eigen Technologies,ai,"Fetter Yard, 86 Fetter Lane",EC4A 1EN,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-014,Faculty,ai,"Level 5, 160 Old Street",EC1V 9BW,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-015,Harvey,ai,,,London,UK,,,Pending research,,,,pending
cand-ai-016,Mphasis AI Innovation Hub,ai,,,London,UK,,,Pending research,,,,pending
cand-ai-017,Huma,ai,"13th Floor Millbank Tower, 21-24 Millbank",SW1P 4QP,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-018,Relation Therapeutics,ai,"Regents Place, 338 Euston Road",NW1 3BG,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-019,Limbic,ai,128 City Road,EC1V 2NX,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-020,Baseimmune,ai,"The London Bioscience Innovation Centre, Royal College Street",NW1 0NH,London,UK,,,Verified London address,,,,needs_geocoding
cand-ai-021,Fetch.ai,ai,,,London,UK,,,Pending research,,,,pending
cand-ai-022,Synthflow AI,ai,,,London,UK,,,Pending research,,,,pending
cand-web3-001,OKX,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-002,Crypto.com,web3,"Suite 5, 7th Floor, 50 Broadway",SW1H 0DB,London,UK,,,Verified London address,,,,needs_geocoding
cand-web3-003,eToro,web3,"24th Floor, One Canada Square, Canary Wharf",E14 5AB,London,UK,,,Verified London address,,,,needs_geocoding
cand-web3-004,Bitpanda,web3,32 Threadneedle Street,EC2R 8AY,London,UK,,,Verified London address,,,,needs_geocoding
cand-web3-005,Nexo,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-006,Blockdaemon,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-007,Alchemy,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-008,QuickNode,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-009,Chainlink Labs,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-010,CertiK,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-011,Argent,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-012,Ramp Network,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-013,Sorare,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-014,Immutable,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-015,Dapper Labs,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-016,R3,web3,,,London,UK,,,Pending research,,,,pending
cand-web3-017,Coincover,web3,,,London,UK,,,Pending research,,,,pending
